frame_id,timestamp,object_id,speed_kmph,x1,y1,x2,y2
400,13.33,7,0.0,259,143,357,214
401,13.37,7,0.0,264,144,361,214
403,13.43,3,0.0,318,285,370,344
403,13.43,2,26.0,317,175,367,214
404,13.47,3,0.0,326,279,376,335
404,13.47,7,0.0,270,144,380,225
405,13.5,7,0.0,274,144,384,225
406,13.53,7,0.0,276,144,390,229
407,13.57,7,0.0,279,146,396,233
408,13.6,7,0.0,281,145,403,237
409,13.63,5,0.0,286,145,408,237
410,13.67,7,0.0,290,148,414,241
411,13.7,7,0.0,295,149,421,243
412,13.73,5,0.0,299,149,429,245
414,13.8,5,0.0,306,149,445,252
415,13.83,7,0.0,311,150,453,254
416,13.87,7,0.0,316,150,462,258
417,13.9,7,0.0,318,149,472,263
419,13.97,3,0.0,228,206,247,246
419,13.97,7,0.0,328,150,490,269
420,14.0,7,0.0,334,150,502,273
421,14.03,7,0.0,339,150,513,277
423,14.1,3,0.0,244,225,261,260
423,14.1,7,0.0,352,152,537,287
424,14.13,3,0.0,247,223,265,263
424,14.13,7,0.0,354,149,547,290
425,14.17,3,0.0,251,230,270,269
425,14.17,7,0.0,362,151,557,295
426,14.2,3,0.0,255,234,274,273
426,14.2,7,0.0,371,153,569,298
427,14.23,3,0.0,260,239,279,277
427,14.23,7,0.0,377,155,579,303
428,14.27,3,0.0,268,244,287,282
428,14.27,7,0.0,384,156,591,307
429,14.3,7,0.0,392,157,603,312
430,14.33,7,0.0,400,158,617,317
431,14.37,7,0.0,407,158,631,322
432,14.4,7,0.0,414,159,640,326
433,14.43,7,0.0,418,159,640,330
434,14.47,7,0.0,423,161,640,334
435,14.5,7,0.0,434,162,640,329
436,14.53,7,0.0,440,163,640,332
437,14.57,3,0.0,319,278,369,344
438,14.6,3,0.0,326,278,381,350
439,14.63,3,0.0,336,282,394,357
441,14.7,7,0.0,482,170,640,327
442,14.73,7,0.0,492,171,640,327
552,18.4,2,26.0,616,189,640,236
553,18.43,2,26.0,613,189,637,235
554,18.47,2,26.0,610,189,634,235
555,18.5,2,26.0,607,187,632,234
556,18.53,2,26.0,604,189,629,233
560,18.67,7,0.0,576,170,637,232
561,18.7,7,0.0,574,169,635,231
562,18.73,7,0.0,570,167,633,230
563,18.77,7,0.0,579,167,640,228
564,18.8,7,0.0,581,167,640,226
565,18.83,7,0.0,568,167,627,225
567,18.9,7,0.0,532,165,640,233
568,18.93,7,0.0,529,164,640,233
569,18.97,7,0.0,525,164,638,235
570,19.0,7,0.0,522,164,634,234
571,19.03,7,0.0,519,164,631,233
572,19.07,7,0.0,516,164,629,233
573,19.1,7,0.0,514,164,626,232
574,19.13,7,0.0,510,163,625,231
575,19.17,7,0.0,506,162,624,231
576,19.2,7,0.0,503,162,621,230
577,19.23,7,0.0,497,160,618,228
